Index,Comment,Label
22,"mình mới mua quạt điều hoà này từ ngày 2142024 rất ít khi sử dụng, mấy ngày vừa rồi nắng nóng dùng bị cháy luôn. gọi bảo hành rất lâu, 5 ngày sau mới có người bên hãng đến kiểm tra và thông báo bị cháy mạch điện bên trong và hiện tại không có linh kiện thay thế. lại báo chờ 23 ngày nữa. mình rất không hài lòng về chế độ bảo hành. mình đã mua rất nhiều sản phẩm của điện máy xanh và hầu như các sản phẩm mình sử dụng đều bị lỗi từ tủ lạnh sam sung, điều hoà panasonic, máy giặt samsung...",0
23,rất tuyệt,2
24,quạt tốt,2
25,"ủa m ở vinh mỹ, mà m mua giá đến 4.290k ở điện máy xanh vinh hưngsao đây la 3.900k.cho m lời giải thích với",2
26,tiếng ồn hơi to,1
27,mẫu mã đẹp. nhân viên điện máy xanh tiên kỳ khá thân thiện.,2
28,"moi mua xài 1 tuần thay thế cái mới ,xài ổn định ok",2
29,sản phẩm đẹp,2
30,"quạt dùng rất tốt,nhân viên phục vụ tận tình,nhưng được cái dich vụ bảo hành chưa được tốt",1
32,"giá cả thì ok, không cần phải bàn về chất lượng và hiệu quả mùa nóng, đã có hàng xóm thấy và mua để cùng trải nghiệm",0
33,không mát lắm nhưng cũng được,1
34,sản phẩm tốt,2
38,quạt đẹp rất đáng để mua,2
39,"quạt chạy rất êm mát lạnh , ổn định",2
40,quạt mới mà bật hơi nước toàn phun ra ngoài.đã vậy còn kêu recrec nge chói tai không chịu nổi,0
41,quạt ok,2
43,e mới mua quạt được 11. vì lý do cá nhân e muốn thanh lý lại. dmx mua lại bao nhiêu  ạ,1
44,"dùng được 3 tháng đã có vấn đề, mở nguồn máy chạy nhưng cánh quạt không quay. bảo hành chậm.",0
45,"quạt chạy tốt, không khô da, mát, phù hợp tầm giá.",0
46,chất lượng tệ chính sách bảo hành lâu mới mua 12 ngày không thấy mát gì,0
48,rất tốt và hài lòng,2
49,mình muốn bên điện máy xanh thu lại giúp quạt mới mua 2 hôm được không ạ,0
50,quạt mua 15 đến hôm nay chưa hết tháng máy quạt mở thì phun nc quạt không còn mát và xa nữa.,0
51,dùng gần được 1 tháng thì rò rỉ nước rất nhiều,1
53,"hàng xài như l, mua phí tiền, chính sách bao hành như qq,mua mấy 3 tháng mà trả mat 40",1
54,sản phẩm tốt,2
55,quạt dùng ổn,2
56,"máy chạy tốt nhưng bên lắp đặt cẩu thả, phần chứa nước không kiểm tra kỹ đổ nước vào 30 phút sau nước chảy hết ra ngoài",0
58,tạm ổn,2
59,"rất tốt, dễ sử dụng",2
60,vệ sinh máy hơi cực một tí.,1
61,xài gần 1 tháng máy êm. tốt. về lâu dài không biết có bền không đây.,0
62,quạt sử dụng ok lắm. dùng 1 thời gian vẫn thấy ổn lắm,2
63,sản phẩm dùng tốt lắm,2
64,rất tốt,2
65,"quạt chỉ phù hợp không gian rộng. nhân viên tư vấn điện máy xanh hậu giang không tận tâm. mình xài con ava cho phòng ngủ, không ồn đang ổn thì nút cảm ứng bị liệt sau 3 tuần. điện máy xanh hết hàng 1 đổi 1 nên kêu mình ra cửa hàng đổi sang con khác. mình chia sẻ rất kĩ là để ở phòng ngủ, phòng nhỏ và mình nhạy cảm tiếng ồn. bạn tư vấn con này vì có chế độ ngủ nhưng chế độ này của quạt này y chang chế độ thường mức 1. trả thêm tiền, giá cũng cao để đổi về 1 con không xứng đáng rất bực. mình gọi bạn ngay ngày đầu tiên nhận quạt và đến tận cửa hàng để nói chuyện với quản lí bạn nhưng cả tuần rồi vẫn không thấy được giải quyết thỏa đáng. rất thất vọng về dịch vụ. khuyến nghị không nên mua con này cho phòng ngủ tránh tiền mất tật mang. mình đau họng ngay sau đêm đầu tiên ngủ quạt chế độ ngủ",0
66,quạt mạnh mát. rất thích hợp ở không gian mở,0
67,máy quạt thì rất mát nhưng không bt bị gì mỗi lần bật chế độ làm mát là nó kêu è è tới sáng ln ah,0
68,dùng tốt chỉ bị không dừng được đảo chiều.,0
69,"mát vừa phải, nhỏ gọn",2
70,ok xài mát mẻ,2
71,"quạt khi xài chế độ làm mát rất ồn, tiếng nước chảy lớn, đã được giới thiệu là dòng máy êm, nhưng về xài thấy tệ quá",0
72,không hai lòng,0
73,"cảm ơn nhé, quạt rất tốt",2
74,làm mát và tiết kiệm điện,2
75,rất tốt,2
76,xài không tốt,0
77,quạt chạy êm mat,1
78,quá tốt,2
79,"quạt mát, chất lượng",2
80,tốt lắm nha,2
81,nên thêm tiền sắm máy lạnh sẽ hợp lý hơn,1
82,quạt xài mới 2 tuần kêu rè rè không được êm,0
83,mát máy êm..,2
84,sài đang tốt,2
85,"quạt rất tốt, rất dễ sử dụng",2
86,mới sử dụng thời gian đầu thì thấy ok. nhưng thời gian dài thì chưa biết thế nào,2
87,sản phẩm sử dụng tốt nhưng còn bị hạn chế vì cần lạnh thì phải đổ nước đá vào.,2
89,máy chạy êm,1
90,quạt không mát,0
91,quạt mới mua bình thường nhưng được vài ngày thì khi bật chế độ làm mát lên là nước văng ra phía trước rất nhiều,2
92,xài rất ok nha mn. rất đáng mua.,2
94,sản phẩm xài tốt. nhưng hơi hao nước.,2
95,tốt. mạnh.,2
96,mua về dùnh dk 2 hôm bị lổi nhiều sửa chửa bảo hành nhiều lần,1
97,"quạt rất mat,giá cả hợp lý",1
99,tôi muốn trả sản phẩm. thủ tục như thế nào ạ,1
100,xài ok lắm cứu nóng rất tuyệt,2
101,"sử dụng tốt, mát",2
103,"không mát, rít người",0
104,"đang sử dụng được 12 ngày rồi, quạt rất là tốt.",2
105,"quạt dùng nước sạch mà mùi hơi nước từ quạt phát ra như mùi bệnh viện, mùi khó chịu và cảm thấy hơi khó thở.",1
106,bảo hành cho khách hàng rất ok,2
107,"đổi cái thứ 2 mà hệ thống thoát nước từ dàn mát xuống bình chứa không ổn định, gây ồn... trong nhà mua 2 cái giống nhau mà cái mới đổi ồn không ngủ được, nước chảy róc rách cả đêm... trong khi là dòng êm nhất",0
109,lỗi bơm nước từ lúc mua tới giờ làm ì sài được đâu mà tốt,0
110,"sản phẩm xài tốt , cần thiết cho những ngày nóng. độ ồn vừa phải",2
111,quạt mát và rất êm không gây tiếng ồn lớn như các loại khác,0
112,tạm ổn.,2
113,rất tốt,2
114,"dịch vụ quá tệ, mua quạt hơi nước sử dụng được 01 ngày bị hư, gọi 5 ngày sau mới xuống xem, xem xong hẹn 7 ngày đổi trả, giờ lại gọi hẹn tiếp 7 ngày",0
115,bi bắn nước ra ngoài,1
116,tuyệt vời,2
117,"mua 5 ngày nhưng mới xài 2 lần, thấy cũng mát, nước chảy như suối. điện máy xanh cho hỏi xài quạt nên mở hay đóng cửa số sẽ mát hơn",2
118,bơm bị hư điện tổng đài thì kêu bảo trì xong rồi bảo trì đưa qua hãng.xong rồi hãng điện thoại xong tắt nguồn chất không dám mua thêm bên cửa hàng nữa sợ lắm rồi,0
121,quạt dùng tốt,2
122,tôi cần hỗ trợ,1
123,"mình đang sử dụng rất hài lòng,không có vấn đề j cả nhưng sao thấy nhiều người chê vậy",0
124,sản phẩm lúc bơm nước lúc không báo nhân viên bảo một đổi một tháng đầu chờ hết hàng rồi mấy ngày sao lại báo nói bảo hành chờ nhân viên gọi,0
125,"sản phẩm bị rò điện sau một thời gian sử dụng, rất nguy hiểm. dùng bút thử thì rò ở rất nhiều nơi. gọi bảo hành thì lòng vòng. đặt lịch bảo hành trên app quà tặng vip thì không liên hệ khách. đến lúc khách hỏi thì đổ lỗi cho khách và không hỗ trợ khách đúng ngày đã hẹn.",0
126,"tốt, nhạy, nên mua, mát,",2
127,"quạt cũng khá mát, nhược điểm hơi ồn, đặt trong phòng ngủ hơi bất tiện",2
128,bật chế độ làm mát thì có tiếng kêu ột ột khá ồn và khó chịu còn quạt thường thì kêu tạch tạch tuy nhỏ nhưng vẫn thấy không yên tâm không biết khi nào hư nữa có nhân viên vô kiểm tra bảo là do bơm nước chảy qua tấm tổ ông nên z máy nào cũng kêu như vậy nhưng mình thấy mấy hãng khác thì không có,0
129,"mua xong, hôm sau chạy kiểm tra bơm nước không lên, đt tổng đài chăm sóc khách hàng thì báo bận, tổng đài bảo hành cũng báo bận, tổng đài bán hàng thì gặp được nhân viên, nhưng nhân viên thì báo là chuyển qua bên bộ phận bảo hành, vậy rốt cuộc máy tui hư ai bảo hành",0
131,quạt xài ok .,2
132,mát tốt,2
133,"quạt tiếng hơi ồn, không êm",0
134,"quạt dùng mát,tính năng trên quạt rất ok.mình rất thích dùng hàng của sunhouse",2
135,"xài khoảng 1 tuần, thấy cũng ổn mát nhưng chắc do phòng mình không hợp để dùng nên là thấy không thoải mái lắm, người hơi rít khi bật chế độ làm mát. mình muốn đổi trả hành nhưng hông biết liên hệ bằng cách nào. mong dmx thấy comment này và liên hệ lại với mình",0
136,"quạt không mát, phà hơi nóng còn hơn lúc không mở quạt",0
137,"khuyên đừng mua, mình mua 2 ngày mà trả mất 20 tiền mua. xem như bài học cho cái ngu, quạt này quạt còn nóng thêm do nó hút nhiệt độ nóng mà phả ra thêm",1
138,ủa sao để giá 3990k. mjh mua hôm qua tại điện máy xanh phường hóa an tp biên hòa giá 4290k,1
139,mua về mới một ngày sao bị chảy nước ạ,1
140,quạt mát ạ,2
141,"mới mua về nhà xài 1 bữa bị rỉ nước điện bảo hành thì bận hoài,nt zalo thì không thèm trả lời, hoàn tiền trả hàng thì im ru, rất thất vọng về điện máy xanh",0
142,sản phẩm rất ok,2
143,tạm ổn thôi,2
144,tôi hài lòng về sản phẩm,2
146,quạy kêu to quá .. có cách nào giảm bớt tiếng ồn không,0
147,không mát gì mấy. bật chế độ làm mát thì cơ thể bị rít người khó chịu. khuyên mọi người không nên mua. nếu biết trước như vậy thì đã mua điều hòa rồi,0
148,bật làm mát không mát.nước bắn lung tung.gọi ktra để đổi trả không thấy cho ng xuống,0
149,"máy chạy không mát, nước như tắm, rất nực thua quạt thường nữa",0
150,sản phẩm rất tệ mới mua về test thử trong 2h đã bị lỗi. gọi báo hàn thì không được nhưng gọi mua hàng thì được. điện máy xanh làm ăn khá mất uy tín,0
151,rất tốt,2
152,vừa mua tối ngày 274 bật chế độ làm mát nước văng khắp nhà. liên hệ bảo hành cả ngày đều báo bận,0
153,"mới mua chạy lúc trưa thì còn mát mát, chạy được khoảng 3h đồng hồ thì bây giờ nó hà hơi nóng ra chịu không nổi",0
154,"chạy im, nhưng hao nước, chắc vậy mới mát",2
156,"gọn , êm , mát nha mọi người",2
157,mới mua về quạt bt được mấy tiếng. xong vài tiếng sau bật chế độ làm mát thì quạt thổi văng nước tùm lum. lúc văng lúc không.không ổn định,0
158,đã tắt máy mà quạt vẫn chạy hù hù không tắt hoàn toàn. âm thanh thì kêu to dù đã bật chế độ ngủ,0
159,"mới mua mà quạt hoạt động có vấn đề, bên trong nghe thấy tiếng ồn lạ",1
160,máy vận hành êm không ồn .gọn nhẹ dễ di chuyển,0
161,"dùng ổn, mát ạ",2
162,"sao mình bật chế độ làm mát rồi mà vẫn thấy nóng , không thấy hơi mát ra nơi hè",0
163,mua sử dụng chưa được 1 tháng mà bật chế độ làm mát có tiếng động lạ rất khó chịu.,2
164,rất ok,2
165,xài êm,1
166,"mới phát hiện bị rò điện ngày hôm nay. 24042024mua ngày 24042023.khiếu nại ngày 2504 hết bảo hành. bây giờ cần dmx tư vấn bán lại hay ntn, dùng này nguy hiểm quá",0
167,hiện tại đang sd êm tốt,2
168,"máy rất tốt, êm nhưng ngăn nước hơi nhỏ",2
169,quạt dùng tốt. rất là mát . hình ảnh không liên quan đến quạt,0
170,máy dùng tốt nhưng khi mở làm mát thì lúc đầu sẽ có chút nước phun ra từ cánh quạt,2
171,sản phẩm xài ổn,2
173,"gió mát, mạnh, tạm thời dùng thấy ổn định ạ. nhân viên vui vẻ nhiệt tình tư vấn và lắp đặt.",2
176,"hàng tốt, bảo hành nhanh",2
177,"tạm thời rất ok.. lâu dài thì chưa nói được ạ.. nhưng chạy êm , mát",2
178,dùng cũng ổn,2
179,quạt rất tốt,2
180,"nhân viên tư vấn nhiệt tình, dịch vụ bán hàng tốt. quạt làm mát hoạt động mạnh, chất lượng, hiệu quả làm mát cao.nhược điểm sử dụng thấy bị rò nước theo đường lưới chắn bụi lúc nhiều lúc ít. liên hệ bảo hành thì hẹn 45 ngày mới xuống, xong cho đổi máy mới thì máy mới lại bị lỗi khác... khi mở tốc độ làm mát cao thì cánh quạt chạm vào lưới làm mát kiên tè..tè...tè... rất khó chịu.... liên hệ bảo hành thì lại hẹn thêm 5 ngày mới xuống kiểm tra.",0
181,hàng ok xài rất êm và mát,2
182,thấy cũng mát,2
183,"máy mới đổi mới bị lỗi nặng hơn máy trước, nước chảy ra ngoài ở 2 mặt bên, máy ồn ngủ không được",0
184,quạt chạy mát êm không bị rỉ nước,0
185,quạt xài tốt lắm,2
187,máy kêu lớn.hao nước.kêu khi bơm làm mát.,2
188,may êm mát,2
189,"nhỏ gọn, dễ sử dụng. bất tiện khi vệ sinh ngăn chứa nước",1
191,"quạt nhỏ gọn không quá to cồng kềnh,giá cả hợp lý vừa túi tiền nên mua nha mọi người. mỗi tội chứa nước hơi ít",0
192,máy chạy rất mát .về lâu dài thì chưa biết nhưng bây giờ mình thấy rất là ok giải quyết được cái sự nóng nực của thời tiết.,2
193,mới mua có 10 ngày mà đang chạy tự nhiên nó tự tắt 2 lần rồi,1
194,"mẫu đời cũ 5 6 năm nhưng chất lượng tốt, hội đủ tất cả tính năng từ màn hình hiển thị,ngắt bơm, tạo ion hay hẹn giờ mà nhiều quạt đời mới bi giờ không có, quạt khá mát không bị tràn nước hay bắn nước như 1 số người nói, nhân viên nhiệt tình. có remote tiện lợi khi ngủ. máy mới nên có mùi keo mùi nhựa mới xài số 3 với chế độ làm mát 2 ngày sẽ hết. mọi người nên mua",0
195,"khi bật chế độ làm mát nước chảy xuống dưới nền nhà ,nhưng do bận quá nên chưa gọi bảo trì.",2
196,dùng tốt lăm,2
198,chưa thấy đều gì bất thường,1
199,độ ồn còn nhiều. gió cảm giác chưa mạnh.,1
200,tạm ổn,2
201,"máy sài vẫn ổn, chưa có bất thường gì .",2
203,"sản phẩm ok, đáp ứng nhu cầu mùa nắng nóng",2
204,quạt không được ổn định lắm. hơi bất thường.,0
205,quạt rất tốt,2
206,"mới mua về đổ nước vô xài, bật chế độ làm mát thì thấy có giọt nước nhỏ xuống cánh quạt ,quay bắn tung té hết. chưa có thời gian liên hệ dmx khắc phục lổi trên.",2
207,quạt mới mua 7 ngày sử dụng 3 ngày quạt thì mát nhưng lúc bật chế dộ làm mát phát ra tiếng kêu rất khó chịu. có con nhỏ nên rất bất tiện. mong có thể được xử lý sớm.,2
208,"vừa mua hồi chiều. tối về đổ nước vào thì bị rò rỉ nước, nước chảy lênh láng đầy nhà. quá tệ",0
209,sản phẩm ok nhé,2
210,mới được ba ngày bật chế độ làm mát nước bơm lên kêu rất khó chịu.tắt chế độ làm mát thì không kêu.thất vọng,0
211,thấy rất hài lòng về sản phẩm,2
212,mới mua được 2 ngàyk biết có bị gì không mà đổ đầy nc bật làm mát chừng 3h là cạn nước,0
213,sử dụng rất mát khi trời nóng,2
214,sài chưa được 1 tuần mở chế độ làm mát nước bắn đầy nhà bảo hành đổi trả đợi quá lâu thất vọng điện máy xanh,2
215,xài ok,2
217,trước mắt thì dùng thấy ok. còn về lâu dài thì chưa biết nữa.,2
218,máy gãy chân.quạt xài bằng nước mà kêu bỏ nước vào không bảo hành sửa chữa.tệ chưa từng thấy,0
219,"dùng gần 3 năm , cảm nhận máy mạnh tốt,sài 1 năm thỳ hư cục bơm tự mua thay tốn vài chục, chỉ có 2 cục đá khô là dỏm , bỏ ngăn đá cho lạnh để bỏ vào máy thỳ nó phòng to và hư, còn lại ok hết,mấy bạn mua hay bị chảy nước chắc do tấm lọc tổ ong phía sau bị đảo chiều",2
220,cho em hỏi sao nước rỉ ra ngoài nhiều vậy ạ em lót 2tấm thảm mà vẫn ướt nhem,1
221,máy tốt,2
222,sản phẩm dùng tốt,2
223,"quạt mạnh quạt mát nhưng còn hơi ồn không được êm. chế độ làm mát tiếng nước chảy hơi lớn , chế độ ngủ như mấy chế độ bình thường không được êm.",0
225,máy chạy êm ok,2
226,"quạt điều hòa mà bật chế độ làm mát lên là bắt đầu nước chảy đầy nhà. chán, mua rồi không lý đập.",0
227,mua v êsài được 3th hư nút điều khiển...sữa xong mỡ máy lên thì bị cháy ..bóc khói..quá tệ không nên mua...,0
228,máy lỗi của nhà sản xuất giờ lại nói là do người dùng,0
230,máy lỗi đủ thứđổi 3 lần vẩn banh,0
231,mới mua sử dụng chưa được mấy lần mà bị lỗi màn hình nhiệt độ không chính xác có được đổi lại không,0
232,đổi trả sp sao z shop,1
233,"máy rất tệ, chăm sóc khách hàng rất tệ, bảo hành thì quá tệ.mình mua máy sử dụng được 1 tuần thì hỏng 3 tấm làm mát nhưng gọi bảo hành mãi không chịu giải quyết.",0
234,rất tốt,2
235,hài lòng với sp,2
236,rất ok,2
237,mình cảm thấy hài lòng,2
238,quat xài rất tệtiếng ồnlàm mát nước bắn ra ngoàimới mua xài được mấy tháng mà hư giờ mới lên đánh giá,0
239,quá tuyệt vời,2
240,tôi mua về dùngmáy có mùi tanh không thể chịu nổigiờ bên hãng đổ lỗi cho tôi là dùng trong gian kín.cửa hàng và hãng không ai giải quyết được cái gìlỗi là do người dùng.thua,0
241,ồn và tốn nước,1
242,quạt chạy êm mát. tốt,2
243,cho hỏi mình mua được 2 tháng j nút làm mát không hiển thị sáng nhưng chức nang thì bình thường nước mình vẫn bơm đủ j pai liên hệ ai dễ sữa ah,0
244,hệ thống cánh tản gió hơi chậm độ mở rộng hướng gió hơi hẹp. cần mở rộng phạm vi gió tốc độ quay của đảo gió giảm ồn,0
245,thì ổn. máy êm gió mạnh,2
246,quạt chạy êm gió mát . rất phù hợp,2
247,hàng bền đẹp,2
248,"bật chế độ làm mát, nước bị bắn ra ngoài nhiều",2
249,"chế độ làm mát tốt , lọc không khí dể chịu",0
250,trước mắt là ok,2
251,dùng rất ổn,2
252,sản phẩm tốt,2
253,"sử dụng cũng tạm, hơi tốn nước vì quạt không mát lắm",0
254,hiện tại sản phẩm đang dùng ổn,2
255,mới mua chạy rất êm nhưng chưa đầy 1 tháng mà tiếng nước kêu rất khó chịu ạ. mình đang theo dõi vài ngày nữa xem sao để gọi bảo hành.,2
257,rất tốt,2
258,"chi phí cao, quạt máy bình thường, mn không nên mua tốn tiền. mua quạt máy thường thôi hoặc chi thêm tiền mua điều hoà lắp sẽ hợp lý hơn.",0
259,"quạt chạy êm,gió mát",2
260,"quạt hơi ồn, nghe tiếng bơm nước kêu rút rít khó chịu, muốn bơm nước làm mát thì phải nhấn nút quay, còn nút mát thì không biết có tác dụng gì",0
261,máy lỗi thiết kế phần thoát khí xuống bồn nước gây tiếng ồn lớn. sunhouse nên lắng nghe khách hàng nhiều hơn và nên điều chỉnh lỗi này vì nó cũng rất đơn giản nhưng hiệu quả. tôi đã chỉ cho nhân viên bảo hành rồi.,0
262,"ồn hơn quạt điện, mà chỉ mát tương đương",2
263,sản phẩm ok,2
265,mơi mua ngày 23 tháng 5 2023 mà mà hết bảo hành chán thật máy kêu như xe độ,1
266,không mát lắm,0
267,"vừa hết hạn bảo hành là bị rò điện. vợ mình đụng vào bị giật tê cánh tay, nhà có con nhỏ chưa biết nói, hay chơi gần quạt không biết có bị giật chưa nữa. sợ quá nên điện điện máy xanh thì báo bên hãng sunhouse xuống sửa. chưa gì đã phán là các thiết bị điện đều bị rò điện, bút thử điện dò thiết bị nào cũng đỏ đèn nhưng không đến nổi giật. ừ hay. đến khi đo máy thì rò 100a, rồi báo máy bị rò do phao, ok thay phao 180k và công là 150k. xong xuôi tính tiền giao hoá đơn thì mình kỹ tính, kiểm tra lại thấy bút thử điện sáng đèn. hỏi ông kỹ thuật thì bảo là đèn bút sáng là bình thường  vẫn nói như trên, không đủ ampe để giật. tin lời ổng, mình chạm tay vào thì giật bắn người, buốt cả đầu cánh tay trái. dm hên chưa chết sém chết vì cái ngu của người khác. rồi lại mở máy ra kiểm tra lại. bảo lần này là do mô tơ quạt, thay 850k. nghe có nổi điên không. ban đầu không dò tìm ra lỗi cho kỹ, thợ đụng đụng đâu biết đó, đụng đâu thay đó. ban đầu báo giá thẳng thì mình quăng cái quạt ngay, mua hồi đó 6tr5. giờ mưa mới gần 4tr mà bảo thay sửa hết hơn 1 triệu. tóm lại, tẩy chay đồ sunhouse, dùng nhiều sp nhà sh rồi, không bền, mau hư, bảo hành sữa chửa thiếu chuyên nghiệp, rất tệ. khuyên chân thành không nên mua hãng này. muốn dân ủng hộ hàng việt, nhưng chất lượng quá tệ thì đừng mong ai ủng hộ",0
269,sản phẩm rất tốt và phù hợp với mìa hè,2
270,"máy sử dụng tốt, nhân viên thái độ nhiệt tình, chu đáo, rất hài lòng.",2
271,sản phẩm tốt. nên mua,2
272,quạt mát êm nên mua để tránh cái nóng sài gòn,2
273,có ích,1
274,tiep don nôg hậu,1
275,"máy chạy mát, tiếng máy hơi ồn khi ở phòng có diện tích nhỏ,",2
276,máy dùng ok ạ,2
277,"đẹp, chắc chắn nhưng tỏa mát không rộng",0
278,sản phẩm tốt chỉ có điều hơi ồn,2
280,sản phẩm ok,2
281,máy làm mát tốt rất đág để mua,2
282,sử dụng rất tốt tiện lợi,2
283,máy tốt chạy êm hơi yếu trong phòng rộng,2
284,tốt trong tầm giá.,2
285,"sản phẩm rất tốt, đẹp và bền, giá phù hợp!",2
286,ok . chất lượng tốt,2
288,quạt xài ok,2
289,nói chung là ok,2
290,mình mua hàng điện máy xanh nhiều mong công ty có quà tặng cho nhé,1
291,"máy êm,3 chế độ gió thích hợp cho cả chế độ ngủ cần sự yên tĩnh,rất mát!!!",2
292,nhân viên nhiệt tình.sp sài cũng được,2
293,rất tốt,2
294,hơi ồn,1
295,chạy êm đúng như nhà sản xuất thông báo,0
296,chạy êm,1
297,rất tốt,2
298,thích ạ,2
301,sản phẩm rất tốt,2
302,máy sử dụng tốt,2
303,"tiếng to, kiểu dáng bình thường",1
304,quạt đẹp ít hao điện,2
306,mới mua nhìn chung quat chậy ok.còn bền hay không còn xem thời gian và mình dùng như nào đã,0
308,máy làm mát tốt,2
310,vừa xài qua 1 năm động cơ làm mát bị hư. không làm mát được z thành quạt gió thường luôn rồi dmx ơi. tư vấn sdt xxxx297430,0
311,máy vận hành hơi tiếng ồn,1
313,quạt khỏe gió mạnh,1
316,quạt mát và mạnh. tuy nhiên hơi ồn nếu sử dụng không gian nhỏ do tiếng máy và tiếng nước chảy.,0
317,"sản phẩm làm mát nhanh, trước mắt sử dụng tốt nhân viên tư vấn online nhiệt tình thân thiện với khách hàng, nhân viên giao hàng nhiệt tình hỗ trợ lắp đặt hướng dẫn sử dụng tận tâm",2
318,"sản phẩm tốt. nhân viên giao hàng nhanh, tận tình",2
319,sản phẩm rất tốt,2
320,"đổi lại cái khác mà bật chế độ quay mạnh khoảng 1 phút mới lên, nói chung không ổn",0
321,dùng khá ok quạt mạnh hạ nhiệt nhanh đáng mua,2
322,quạt chạy ổn.,2
323,chạy liên tục gần như 2424 trong tuần đầu thấy quá ok.,2
325,in mượt màu đậm,1
326,"lần đầu sử dụng bị văng nước như mưa, nửa đêm tỉnh dậy nước lênh láng nền nhà, nhân viên bảo hành tới thì lại không việc gì nên báo đổi cái mới, siêu thị gọi tới báo hết hàng đổi sang loại khác",0
327,"tiếng to, lâu lâu vẫn bị văng nước ra ngoài",1
328,quạt tốt,2
329,"quạt mát, êm",2
333,"quạt mạnh, chế độ chuyên nghiệp của điện máy xanh đã nâng tầm, nên mua nhé mn",1
334,máy mới mua thì có trả hàng được không,0
335,moi sử dụng nhưng cảm thấy tốt,2
336,"máy rất mát, êm, rất hài lòng về sản phẩm và dịch vụ, phục vụ nhanh.",2
337,rất mát rất tốt rất hài lòng,2
339,san phâm tôt tôi hai long,1
340,quạt không mát. nhiệt đõ giảm khoản 12 độ so với nhiệt độ môi trường.,0
